# 武英殿刻本 同文書局本 標點整理本
㖑	441:1	190:14	118:1
㖒	441:2	190:15	118:2
㖓	443:2	191:12	119:1
㖔	443:8	191:18	119:7
㖕	443:11	191:21	119:10
㖖	446:3	192:18	120:8
㖗	3712:19	1548:16	145:34
㖘	3712:24	1548:21	145:39
㖟	447:1	193:8	120:21
㖠	447:6	193:13	121:1
㖡	449:4	194:4	121:19
㖢	449:5	194:5	121:20
㖣	449:7	194:7	121:22
㖤	449:13	194:13	122:4
㖥	450:5	194:21	122:12
㖦	450:10	194:26	122:17
㖧	452:5	195:7	123:7
㖨	453:1	195:14	123:13
㖩	454:10	196:14	124:10
㖪	455:2	196:16	124:12
㖫	3790:9	1589:78	147:3
㖶	455:14	196:28	124:24
㖷	455:17	197:3	124:27
㖸	456:6	197:9	125:2
㖹	456:12	197:15	125:8
㖺	456:13	197:16	125:9
㖻	457:1	197:23	125:12
㖼	458:3	198:3	126:1
㖽	458:6	198:6	126:4
㖾	458:12	198:12	126:10
㖿	458:13	198:13	126:11
㗀	459:1	198:19	126:17
㗁	459:13	198:31	126:29
㗂	459:14	198:32	126:30
㗃	459:16	198:34	126:32
㗄	460:5	199:4	127:2
㗅	461:1	199:9	127:4
㗆	462:1	199:21	127:15
㗇	462:3	199:23	127:17
㗈	462:4	199:24	127:18
㗉	463:8	200:10	128:9
㗊	464:1	200:21	128:15
㗋	465:3	201:3	129:3
㗌	458:15	198:15	126:13
㗍	3713:6	1548:42	145:60
㗓	465:17	201:17	129:17
㗔	465:18	201:18	129:18
㗕	467:5	202:4	130:3
㗖	467:13	202:16	130:11
㗗	469:7	202:38	131:1
㗘	469:10	203:2	131:4
㗙	469:11	203:3	131:5
㗚	470:14	203:20	131:21
㗛	471:11	204:3	132:4
㗜	470:13	203:19	131:20
㗢	471:26	204:18	132:19
㗣	473:5	204:33	132:34
㗤	473:8	204:36	132:37
㗥	474:2	205:4	133:10
㗦	474:6	205:8	133:14
㗧	474:10	205:12	133:18
㗨	475:6	205:19	133:25
㗩	475:9	205:22	134:1
㗪	475:11	205:24	134:3
㗫	476:3	206:2	134:8
㗬	477:3	206:11	134:17
㗭	477:11	206:19	135:3
㗱	478:2	206:30	135:14
㗲	478:10	207:6	135:22
㗳	479:4	207:17	135:33
㗴	480:1	207:31	136:8
㗵	481:12	208:15	136:26
㗶	482:3	208:26	137:9
㗻	483:14	209:22	137:36
㗼	484:7	209:36	138:12
㗽	484:8	209:37	138:13
㗾	486:3	210:13	139:4
㗿	486:13	210:23	139:14
㘀	486:15	210:25	139:16
㘁	487:4	211:1	139:23
㘂	487:5	211:2	139:24
